original_name	origin	en:france	en:belgium	en:germany	en:irland	en:italy	en:luxembourg	en:netherlands	en:spain	en:switzerland
Guadeloupe	en:guadeloupe	53	47	47	37	32	38	46	49	25
Guam	en:guam	0	0	0	0	0	0	0	0	0
Guatemala	en:guatemala	12	3	3	0	0	0	2	4	0
Guernesey	en:guernsey	76	91	90	77	56	82	90	74	49
Guinée	en:guinea	43	37	37	25	28	28	36	45	21
Guinée équatoriale	en:equatorial-guinea	48	32	31	20	23	23	31	40	16
Guinée-Bissau	en:guinea-bissau	69	55	55	43	47	46	55	64	40
Guyane	en:guyana	40	27	28	18	16	18	27	32	8
Haïti	en:haiti	30	38	38	29	22	29	37	38	15
Honduras	en:honduras	34	16	16	6	0	7	15	16	0
